colour.in.videos,tile.number,Treatment,Crevice.kind,Location,Unique.location,number.LOB.before,number.otherMA.before,number.unknown.before,number.Lob.after,number.otherMA.after,number.unknown.after,number.LOB.removed,number.otherMA.removed,number.unknown.removed
blank,74,accessible,large,g6,74.g6,3,0,0,3,0,0,0,0,0
blank,74,accessible,large,g7,74.g7,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,g8,74.g8,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,g9,74.g9,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h1,74.h1,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,h2,74.h2,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h3,74.h3,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,h4,74.h4,1,3,0,1,3,0,0,0,0
blank,74,accessible,large,h5,74.h5,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h6,74.h6,0,3,0,0,2,0,0,1,0
blank,74,accessible,large,h7,74.h7,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h8,74.h8,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,h9,74.h9,1,0,0,1,0,0,0,0,0
blank,74,accessible,large,i1,74.i1,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i2,74.i2,1,0,1,1,0,1,0,0,0
blank,74,accessible,large,i3,74.i3,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i4,74.i4,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i5,74.i5,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i6,74.i6,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i7,74.i7,0,0,0,0,0,0,0,0,0
blank,74,accessible,large,i8,74.i8,0,1,0,0,1,0,0,0,0
blank,74,accessible,large,i9,74.i9,0,0,0,0,0,0,0,0,0
black,80,accessible,large,a1,80.a1,0,0,0,0,0,0,0,0,0
black,80,accessible,large,a2,80.a2,0,0,0,0,0,0,0,0,0
black,80,accessible,large,a3,80.a3,0,1,0,0,1,0,0,0,0
black,80,accessible,large,a4,80.a4,2,0,0,2,0,0,0,0,0
black,80,accessible,large,a5,80.a5,1,0,0,1,0,0,0,0,0
black,80,accessible,large,a6,80.a6,0,0,0,0,0,0,0,0,0
black,80,accessible,large,a7,80.a7,0,1,0,0,1,0,0,0,0
black,80,accessible,large,a8,80.a8,2,1,0,2,1,0,0,0,0
black,80,accessible,large,a9,80.a9,0,1,0,0,1,0,0,0,0
black,80,accessible,large,b1,80.b1,0,1,0,0,1,0,0,0,0
black,80,accessible,large,b2,80.b2,1,4,0,1,3,0,0,1,0
black,80,accessible,large,b3,80.b3,1,3,1,1,3,1,0,0,0
black,80,accessible,large,b4,80.b4,0,3,0,0,3,0,0,0,0
black,80,accessible,large,b5,80.b5,0,0,0,0,0,0,0,0,0
black,80,accessible,large,b6,80.b6,1,5,0,1,5,0,0,0,0
black,80,accessible,large,b7,80.b7,0,3,0,0,3,0,0,0,0
black,80,accessible,large,b8,80.b8,0,1,0,0,1,0,0,0,0
black,80,accessible,large,b9,80.b9,0,0,0,0,0,0,0,0,0
black,80,accessible,large,c1,80.c1,0,0,0,0,0,0,0,0,0
black,80,accessible,large,c2,80.c2,2,2,0,2,2,0,0,0,0
black,80,accessible,large,c3,80.c3,1,0,1,1,0,1,0,0,0
black,80,accessible,large,c4,80.c4,0,2,0,0,2,0,0,0,0
black,80,accessible,large,c5,80.c5,2,3,0,2,3,0,0,0,0
black,80,accessible,large,c6,80.c6,0,1,0,0,1,0,0,0,0
black,80,accessible,large,c7,80.c7,0,4,0,0,3,0,0,1,0
black,80,accessible,large,c8,80.c8,1,1,0,1,1,0,0,0,0
black,80,accessible,large,c9,80.c9,0,0,0,0,0,0,0,0,0
black,80,accessible,large,d1,80.d1,0,1,0,0,1,0,0,0,0
black,80,accessible,large,d2,80.d2,0,9,0,0,9,0,0,0,0
black,80,accessible,large,d3,80.d3,0,0,0,0,0,0,0,0,0
black,80,accessible,large,d4,80.d4,1,2,0,1,2,0,0,0,0
black,80,accessible,large,d5,80.d5,0,3,0,0,3,0,0,0,0
black,80,accessible,large,d6,80.d6,0,3,0,0,3,0,0,0,0
black,80,accessible,large,d7,80.d7,0,0,0,0,0,0,0,0,0
black,80,accessible,large,d8,80.d8,0,4,0,0,4,0,0,0,0
black,80,accessible,large,d9,80.d9,0,0,0,0,0,0,0,0,0
black,80,accessible,large,e1,80.e1,0,1,0,0,1,0,0,0,0
black,80,accessible,large,e2,80.e2,2,0,1,2,0,1,0,0,0
black,80,accessible,large,e3,80.e3,0,2,0,0,2,0,0,0,0
black,80,accessible,large,e4,80.e4,1,5,0,1,5,0,0,0,0
black,80,accessible,large,e5,80.e5,0,3,0,0,3,0,0,0,0
black,80,accessible,large,e6,80.e6,0,0,0,0,0,0,0,0,0
black,80,accessible,large,e7,80.e7,1,0,0,1,0,0,0,0,0
black,80,accessible,large,e8,80.e8,1,1,0,1,1,0,0,0,0
black,80,accessible,large,e9,80.e9,1,0,0,1,0,0,0,0,0
black,80,accessible,large,f1,80.f1,1,0,0,1,0,0,0,0,0
black,80,accessible,large,f2,80.f2,0,1,0,0,0,0,0,1,0
black,80,accessible,large,f3,80.f3,1,1,0,1,1,0,0,0,0
black,80,accessible,large,f4,80.f4,0,4,0,0,3,0,0,1,0
black,80,accessible,large,f5,80.f5,0,2,0,0,1,0,0,1,0
black,80,accessible,large,f6,80.f6,0,1,0,0,1,0,0,0,0
black,80,accessible,large,f7,80.f7,1,1,0,1,1,0,0,0,0
black,80,accessible,large,f8,80.f8,0,3,0,0,3,0,0,0,0
black,80,accessible,large,f9,80.f9,0,0,1,0,0,1,0,0,0
black,80,accessible,large,g1,80.g1,0,0,0,0,0,0,0,0,0
black,80,accessible,large,g2,80.g2,0,1,0,0,1,0,0,0,0
black,80,accessible,large,g3,80.g3,0,1,0,0,1,0,0,0,0
black,80,accessible,large,g4,80.g4,2,2,0,2,2,0,0,0,0
black,80,accessible,large,g5,80.g5,0,0,0,0,0,0,0,0,0
black,80,accessible,large,g6,80.g6,0,1,0,0,1,0,0,0,0
black,80,accessible,large,g7,80.g7,2,3,0,2,3,0,0,0,0
black,80,accessible,large,g8,80.g8,1,2,0,1,2,0,0,0,0
black,80,accessible,large,g9,80.g9,0,1,0,0,1,0,0,0,0
black,80,accessible,large,h1,80.h1,0,1,0,0,1,0,0,0,0
black,80,accessible,large,h2,80.h2,0,1,0,0,1,0,0,0,0
black,80,accessible,large,h3,80.h3,2,3,0,2,3,0,0,0,0
black,80,accessible,large,h4,80.h4,0,0,0,0,0,0,0,0,0
black,80,accessible,large,h5,80.h5,0,2,0,0,2,0,0,0,0
black,80,accessible,large,h6,80.h6,0,4,0,0,3,0,0,1,0
black,80,accessible,large,h7,80.h7,1,2,0,1,2,0,0,0,0
black,80,accessible,large,h8,80.h8,0,0,0,0,0,0,0,0,0
black,80,accessible,large,h9,80.h9,1,1,0,1,1,0,0,0,0
black,80,accessible,large,i1,80.i1,0,1,0,0,1,0,0,0,0
black,80,accessible,large,i2,80.i2,0,0,0,0,0,0,0,0,0
black,80,accessible,large,i3,80.i3,0,0,0,0,0,0,0,0,0
black,80,accessible,large,i4,80.i4,0,0,0,0,0,0,0,0,0
black,80,accessible,large,i5,80.i5,0,0,0,0,0,0,0,0,0
black,80,accessible,large,i6,80.i6,0,0,0,0,0,0,0,0,0
black,80,accessible,large,i7,80.i7,0,1,0,0,1,0,0,0,0
black,80,accessible,large,i8,80.i8,0,1,0,0,1,0,0,0,0
black,80,accessible,large,i9,80.i9,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,a1,13.a1,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,a2,13.a2,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,a3,13.a3,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,a4,13.a4,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,a5,13.a5,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,a6,13.a6,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,a7,13.a7,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,a8,13.a8,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,a9,13.a9,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,b1,13.b1,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,b2,13.b2,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,b3,13.b3,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,b4,13.b4,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,b5,13.b5,2,1,0,2,1,0,0,0,0
green,13,caged control,medium,b6,13.b6,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,b7,13.b7,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,b8,13.b8,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,b9,13.b9,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,c1,13.c1,0,2,0,0,2,0,0,0,0
green,13,caged control,medium,c2,13.c2,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,c3,13.c3,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,c4,13.c4,0,2,0,0,2,0,0,0,0
green,13,caged control,medium,c5,13.c5,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,c6,13.c6,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,c7,13.c7,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,c8,13.c8,0,3,0,0,3,0,0,0,0
green,13,caged control,medium,c9,13.c9,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,d1,13.d1,0,0,1,0,0,1,0,0,0
green,13,caged control,medium,d2,13.d2,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,d3,13.d3,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,d4,13.d4,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,d5,13.d5,0,3,1,0,3,1,0,0,0
green,13,caged control,medium,d6,13.d6,0,3,0,0,2,0,0,1,0
green,13,caged control,medium,d7,13.d7,0,3,0,0,3,0,0,0,0
green,13,caged control,medium,d8,13.d8,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,d9,13.d9,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,e1,13.e1,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,e2,13.e2,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,e3,13.e3,0,3,0,0,3,0,0,0,0
green,13,caged control,medium,e4,13.e4,0,0,1,0,0,1,0,0,0
green,13,caged control,medium,e5,13.e5,1,1,0,1,1,0,0,0,0
green,13,caged control,medium,e6,13.e6,0,2,1,0,2,1,0,0,0
green,13,caged control,medium,e7,13.e7,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,e8,13.e8,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,e9,13.e9,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,f1,13.f1,0,2,0,0,2,0,0,0,0
green,13,caged control,medium,f2,13.f2,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,f3,13.f3,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,f4,13.f4,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,f5,13.f5,0,1,0,0,1,1,0,0,-1
green,13,caged control,medium,f6,13.f6,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,f7,13.f7,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,f8,13.f8,0,5,0,0,5,0,0,0,0
green,13,caged control,medium,f9,13.f9,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,g1,13.g1,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,g2,13.g2,1,1,0,1,1,0,0,0,0
green,13,caged control,medium,g3,13.g3,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,g4,13.g4,1,1,0,1,1,0,0,0,0
green,13,caged control,medium,g5,13.g5,0,0,1,0,0,1,0,0,0
green,13,caged control,medium,g6,13.g6,0,2,0,0,2,0,0,0,0
green,13,caged control,medium,g7,13.g7,0,3,0,0,3,0,0,0,0
green,13,caged control,medium,g8,13.g8,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,g9,13.g9,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,h1,13.h1,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,h2,13.h2,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,h3,13.h3,1,2,0,1,2,0,0,0,0
green,13,caged control,medium,h4,13.h4,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,h5,13.h5,1,0,0,1,0,0,0,0,0
green,13,caged control,medium,h6,13.h6,0,1,1,0,1,1,0,0,0
green,13,caged control,medium,h7,13.h7,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,h8,13.h8,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,h9,13.h9,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,i1,13.i1,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,i2,13.i2,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,i3,13.i3,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,i4,13.i4,0,1,0,0,1,0,0,0,0
green,13,caged control,medium,i5,13.i5,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,i6,13.i6,1,1,0,1,1,0,0,0,0
green,13,caged control,medium,i7,13.i7,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,i8,13.i8,0,0,0,0,0,0,0,0,0
green,13,caged control,medium,i9,13.i9,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a1,44.a1,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a2,44.a2,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a3,44.a3,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a4,44.a4,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a5,44.a5,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a6,44.a6,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a7,44.a7,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a8,44.a8,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,a9,44.a9,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,b1,44.b1,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,b2,44.b2,1,1,0,1,1,0,0,0,0
red,44,accessible,medium,b3,44.b3,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,b4,44.b4,0,3,0,0,3,0,0,0,0
red,44,accessible,medium,b5,44.b5,0,2,0,0,2,0,0,0,0
red,44,accessible,medium,b6,44.b6,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,b7,44.b7,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,b8,44.b8,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,b9,44.b9,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,c1,44.c1,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,c2,44.c2,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,c3,44.c3,0,1,0,0,0,0,0,1,0
red,44,accessible,medium,c4,44.c4,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,c5,44.c5,0,2,0,0,2,0,0,0,0
red,44,accessible,medium,c6,44.c6,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,c7,44.c7,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,c8,44.c8,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,c9,44.c9,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,d1,44.d1,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,d2,44.d2,0,2,0,0,1,0,0,1,0
red,44,accessible,medium,d3,44.d3,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,d4,44.d4,0,2,0,0,0,0,0,2,0
red,44,accessible,medium,d5,44.d5,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,d6,44.d6,1,1,0,1,0,0,0,1,0
red,44,accessible,medium,d7,44.d7,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,d8,44.d8,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,d9,44.d9,1,1,0,0,1,0,1,0,0
red,44,accessible,medium,e1,44.e1,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,e2,44.e2,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,e3,44.e3,0,5,0,0,2,0,0,3,0
red,44,accessible,medium,e4,44.e4,2,1,0,2,1,0,0,0,0
red,44,accessible,medium,e5,44.e5,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,e6,44.e6,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,e7,44.e7,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,e8,44.e8,0,2,0,0,2,0,0,0,0
red,44,accessible,medium,e9,44.e9,0,1,0,0,0,0,0,1,0
red,44,accessible,medium,f1,44.f1,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,f2,44.f2,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,f3,44.f3,1,2,0,1,2,0,0,0,0
red,44,accessible,medium,f4,44.f4,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,f5,44.f5,1,1,0,1,1,0,0,0,0
red,44,accessible,medium,f6,44.f6,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,f7,44.f7,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,f8,44.f8,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,f9,44.f9,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,g1,44.g1,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,g2,44.g2,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,g3,44.g3,0,1,0,0,1,0,0,0,0
red,44,accessible,medium,g4,44.g4,0,2,1,0,2,1,0,0,0
red,44,accessible,medium,g5,44.g5,0,1,0,0,0,0,0,1,0
red,44,accessible,medium,g6,44.g6,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,g7,44.g7,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,g8,44.g8,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,g9,44.g9,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,h1,44.h1,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,h2,44.h2,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,h3,44.h3,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,h4,44.h4,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,h5,44.h5,1,0,0,1,0,0,0,0,0
red,44,accessible,medium,h6,44.h6,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,h7,44.h7,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,h8,44.h8,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,h9,44.h9,3,1,0,3,1,0,0,0,0
red,44,accessible,medium,i1,44.i1,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,i2,44.i2,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,i3,44.i3,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,i4,44.i4,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,i5,44.i5,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,i6,44.i6,0,0,3,0,0,3,0,0,0
red,44,accessible,medium,i7,44.i7,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,i8,44.i8,0,0,0,0,0,0,0,0,0
red,44,accessible,medium,i9,44.i9,0,0,0,0,0,0,0,0,0
red,72,accessible,small,a1,72.a1,0,0,0,0,0,0,0,0,0
red,72,accessible,small,a2,72.a2,1,0,0,1,0,0,0,0,0
red,72,accessible,small,a3,72.a3,1,2,0,1,2,0,0,0,0
red,72,accessible,small,a4,72.a4,2,2,0,2,2,0,0,0,0
red,72,accessible,small,a5,72.a5,1,1,0,1,1,0,0,0,0
red,72,accessible,small,a6,72.a6,0,0,0,0,0,0,0,0,0
red,72,accessible,small,a7,72.a7,1,0,0,1,0,0,0,0,0
red,72,accessible,small,a8,72.a8,0,1,0,0,1,0,0,0,0
red,72,accessible,small,a9,72.a9,0,0,0,0,0,0,0,0,0
red,72,accessible,small,b1,72.b1,0,0,0,0,0,0,0,0,0
red,72,accessible,small,b2,72.b2,0,2,0,0,0,0,0,2,0
red,72,accessible,small,b3,72.b3,0,3,0,0,3,0,0,0,0
red,72,accessible,small,b4,72.b4,0,3,0,0,2,0,0,1,0
red,72,accessible,small,b5,72.b5,0,0,0,0,0,0,0,0,0
red,72,accessible,small,b6,72.b6,0,0,0,0,0,0,0,0,0
red,72,accessible,small,b7,72.b7,0,0,0,0,0,0,0,0,0
red,72,accessible,small,b8,72.b8,1,1,0,1,1,0,0,0,0
red,72,accessible,small,b9,72.b9,0,0,0,0,0,0,0,0,0
red,72,accessible,small,c1,72.c1,0,0,0,0,0,0,0,0,0
red,72,accessible,small,c2,72.c2,0,0,0,0,0,0,0,0,0
red,72,accessible,small,c3,72.c3,0,0,0,0,0,0,0,0,0
red,72,accessible,small,c4,72.c4,0,0,0,0,0,0,0,0,0
red,72,accessible,small,c5,72.c5,0,3,0,0,3,0,0,0,0
red,72,accessible,small,c6,72.c6,0,2,0,0,2,0,0,0,0
red,72,accessible,small,c7,72.c7,1,5,0,1,5,0,0,0,0
red,72,accessible,small,c8,72.c8,0,0,0,0,0,0,0,0,0
red,72,accessible,small,c9,72.c9,2,1,0,2,1,0,0,0,0
red,72,accessible,small,d1,72.d1,4,2,0,4,2,0,0,0,0
red,72,accessible,small,d2,72.d2,1,4,0,1,4,0,0,0,0
red,72,accessible,small,d3,72.d3,0,1,0,0,1,0,0,0,0
red,72,accessible,small,d4,72.d4,1,6,0,1,5,0,0,1,0
red,72,accessible,small,d5,72.d5,0,1,0,0,1,0,0,0,0
red,72,accessible,small,d6,72.d6,1,4,0,0,2,0,1,2,0
red,72,accessible,small,d7,72.d7,1,2,0,1,2,0,0,0,0
red,72,accessible,small,d8,72.d8,4,2,0,4,2,0,0,0,0
red,72,accessible,small,d9,72.d9,2,0,0,2,0,0,0,0,0
red,72,accessible,small,e1,72.e1,2,1,0,2,1,0,0,0,0
red,72,accessible,small,e2,72.e2,0,1,0,0,1,0,0,0,0
red,72,accessible,small,e3,72.e3,0,0,0,0,0,0,0,0,0
red,72,accessible,small,e4,72.e4,3,2,0,3,2,0,0,0,0
red,72,accessible,small,e5,72.e5,0,1,0,0,1,0,0,0,0
red,72,accessible,small,e6,72.e6,0,0,0,0,0,0,0,0,0
red,72,accessible,small,e7,72.e7,0,3,0,0,3,0,0,0,0
