Treatment,Tile.number,Assigned.location.code,crevice.kind,LOB.crown,LOB.targetcrevice,LOB.othercrevice,LOB.opencrevice,LOB.outside,LOB.overall,otherMA.crown,otherMA.targetcrevice,otherMA.othercrevice,otherMA.opencrevice,otherMA.outside,otherMA.overall,unknown.crown,unknown.targetcrevice,unknown.othercrevice,unknown.opencrevice,unknown.outside,unknown.overall,Number.crowns,Area.crown.cm2,Number.targetcrevice,Area.targetcrevice.cm2.nosides,Area.targetcrevice.cm2.inclsides,Area.othercrevice.cm2.nosides,Area.othercrevice.cm2.inclsides,Number.opencrevices,Area.opencrevice.cm2.nosides,Area.opencrevice.cm2.inclsides,Area.outside.nosides.cm2,Area.outside.inclsides.cm2,Area.overall.cm2.nosides,Area.overall.cm2.inclsides,Proportion.LOB.target.overall,comment,identity other crevice,Observer
Caged,6,Caged_green+3,small,62,2,4,12,38,118,65,5,8,10,26,114,6,2,1,3,6,18,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,7,Caged_green+3,medium,55,8,5,18,22,108,59,5,11,22,6,103,8,3,3,5,0,19,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,8,Caged_green+3,large,66,28,3,32,42,171,76,21,11,35,29,172,1,3,0,2,0,6,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less  crowns,medium,Laura
Open,9,Open_red+2,large,1,1,0,3,4,9,35,9,11,37,13,105,0,0,0,0,0,0,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less crowns,medium,Laura
Open,9.2,Open_red+3,medium,1,1,1,2,2,7,0,0,2,0,1,3,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,10,Open_red+2,small,1,6,0,7,14,28,29,14,4,9,25,81,2,1,0,0,1,4,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,12,Caged_red+1,small,4,0,3,4,4,15,20,3,0,7,15,45,2,0,0,1,1,4,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,13,Caged_red+1,medium,4,2,2,6,3,17,21,12,10,10,7,60,1,0,2,0,1,4,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,14,Caged_red+1,large,21,5,4,6,10,46,80,11,6,20,7,124,2,2,1,0,5,10,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Laura
Caged,18,Caged_yellow+1,small,1,2,2,3,9,17,33,6,6,10,18,73,0,0,1,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,19,Caged_yellow+1,medium,1,1,0,3,4,9,26,10,2,8,6,52,0,2,0,3,0,5,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,21,Open_green+1,small,0,1,4,1,15,21,1,2,4,8,14,29,1,0,0,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,22,Open_yellow+3,large,2,0,2,3,1,8,8,6,4,8,12,38,0,0,0,0,0,0,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Alan
Open,23,Open_yellow+3,medium,0,1,0,0,0,1,0,0,1,0,1,2,0,1,0,1,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,24,Open_yellow+3,small,1,1,1,6,2,11,3,9,5,12,4,33,0,1,0,0,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,28,Open_green+3,small,11,7,7,15,15,55,61,10,26,24,35,156,2,2,0,1,1,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,29,Open_green+3,medium,3,2,2,3,3,13,15,4,3,4,1,27,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,30,Open_green+3,large,6,4,0,11,13,34,13,8,11,7,5,44,0,0,0,0,0,0,27,38.88,1,15.49736,31.49736,9,33,8,18,54,66.62264,90.62264,148,248,,"1 crown missing, type 2, more crowns",medium,Laura
Open,33,Open_yellow+2,large,3,3,3,5,1,15,5,12,15,8,7,47,0,0,0,4,1,5,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Laura
Open,34,Open_yellow+2,medium,0,7,2,13,1,23,1,1,3,2,1,8,0,1,0,1,1,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,35,Open_yellow+2,small,3,4,2,6,10,25,10,7,1,9,6,33,0,1,0,1,1,3,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,36,Open_green+2,large,1,1,0,2,3,7,6,5,4,6,7,28,1,0,0,0,0,1,27,38.88,1,15.49736,31.49736,9,33,8,18,54,66.62264,90.62264,148,248,,"type 2 - more crowns, but 1 missing",medium,Laura
Open,37,Open_green+2,medium,3,1,1,1,3,9,13,8,1,5,1,28,1,0,0,2,0,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,38,Open_green+1,medium,5,5,1,7,6,24,17,8,6,9,3,43,0,0,1,1,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,39,Open_green+1,large,3,1,3,1,5,13,46,5,4,21,56,132,7,2,0,0,2,11,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Fredi
Open,40,Open_green+2,small,1,3,4,4,1,13,8,2,3,11,13,37,1,4,0,0,0,5,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,43,Caged_yellow+2,small,1,1,0,1,0,3,29,6,3,7,12,57,0,0,0,0,0,0,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,43.2,Open_yellow+1,large,1,6,3,0,6,16,14,7,2,7,5,35,3,2,0,4,2,11,25,36,1,15.49736,31.49736,9,33,8,18,54,69.50264,93.50264,148,248,,"type2, more crowns, but 3 crowns missing",medium,Laura
Caged,44,Caged_yellow+2,medium,3,2,4,3,6,18,21,6,3,7,6,43,0,1,0,0,1,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,45,Caged_yellow+2,large,6,4,2,7,8,27,123,27,10,32,16,208,1,0,0,0,0,1,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less  crowns,medium,Laura
Partial,46,Partial_green+3,large,3,3,1,5,13,25,14,8,9,16,5,52,0,0,0,2,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,"type1, less crowns",medium,Laura
Partial,47,Partial_green+3,small,1,3,2,2,8,16,24,4,5,9,8,50,0,0,0,0,1,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,48,Partial_green+3,medium,4,0,0,0,8,12,4,4,2,1,3,14,0,1,0,0,1,2,19,27.36,8,18,66,10.74736,28.74736,12,27,81,64.89264,84.09264,148,287.2,,"5 crowns missing, 2 target crevices compromised",middle,Laura
Partial,49,Partial_green+2,small,3,3,5,9,27,47,33,7,9,38,28,115,3,0,1,2,6,12,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,50,Partial_green+2,medium,0,1,2,1,7,11,5,1,1,1,0,8,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Partial,55,Partial_yellow+1,small,0,0,0,4,1,5,2,6,0,5,0,13,0,0,0,0,0,0,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,56,Partial_yellow+1,large,2,4,5,6,2,19,10,8,0,14,3,35,0,0,0,1,0,1,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less crowns,medium,Laura
Partial,58,Partial_yellow+1,medium,0,0,0,2,0,2,1,0,0,0,0,1,0,1,0,1,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Partial,61,Partial_red+2,large,8,3,0,3,8,22,19,10,9,15,15,68,1,1,0,0,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,"type1, less crowns",middle,Laura
Partial,62,Partial_red+2,medium,2,3,2,2,5,14,2,4,0,8,4,18,0,1,0,0,0,1,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Partial,63,Partial_red+2,small,3,1,2,1,2,9,19,6,5,9,11,50,3,1,1,1,4,10,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,71,Caged_red+2,large,53,12,19,21,23,128,107,8,8,15,18,156,2,0,2,7,2,13,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,type2 - more crowns,medium,Laura
Caged,72,Caged_red+2,small,20,1,4,7,25,57,51,11,4,10,14,90,2,2,0,1,1,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,73,Caged_red+2,medium,21,11,6,15,18,71,73,8,5,24,18,128,12,2,3,6,2,25,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,74,Caged_green+1,large,3,1,5,3,3,15,64,9,1,21,5,100,0,1,0,0,1,2,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less crowns,medium,Laura
Caged,75,Caged_green+1,medium,3,0,1,3,4,11,47,5,0,1,6,59,0,2,1,2,0,5,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,77,Caged_green+1,small,4,1,6,2,6,19,56,2,0,13,25,96,0,0,0,1,0,1,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,78,Caged_red+3,small,7,1,1,2,14,25,31,1,7,5,21,65,2,2,0,0,3,7,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,79,Caged_red+3,medium,1,0,2,8,10,21,12,11,4,20,14,61,0,0,0,1,0,1,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,80,Caged_red+3,large,6,4,4,9,9,32,47,22,5,22,12,108,1,0,0,2,1,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less crowns,medium,Laura
Partial,82,Partial_red+3,small,3,0,0,4,8,15,24,4,4,4,8,44,1,0,0,1,4,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,83,Partial_yellow+3,large,4,6,5,9,13,37,30,12,5,43,6,96,2,0,0,3,0,5,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,type1 - less crowns,medium,Laura
Partial,84,Partial_yellow+3,small,0,4,3,1,6,14,14,4,2,18,32,70,0,2,0,2,2,6,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,85,Partial_yellow+3,medium,3,5,3,4,3,18,54,5,3,22,17,101,0,2,0,0,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Partial,86,Partial_red+1,large,0,0,2,1,3,6,3,0,1,0,0,4,0,1,2,0,0,3,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Alan
Partial,87,Partial_red+1,medium,1,3,0,7,8,19,4,13,0,5,3,25,0,2,0,0,0,2,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,87.2,Open_red+3,small,3,5,4,5,2,19,1,3,9,5,5,23,0,3,0,0,0,3,22,31.68,8,18,66,10.74736,28.74736,12,27,81,60.57264,79.77264,148,287.2,,"two crowns missing, two small crevices compromised",middle,Laura
Partial,88,Partial_red+1,small,0,3,0,4,4,11,13,11,3,17,10,54,0,1,0,0,1,2,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,89,Partial_red+3,medium,2,1,0,5,1,9,3,2,1,3,0,9,0,1,1,1,0,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Partial,90,Partial_red+3,large,3,3,3,10,11,30,14,5,5,13,7,44,1,1,0,0,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,"type1, less crowns",medium,Fredi
Open,90.2,Open_yellow+1,small,5,3,5,6,8,27,5,9,2,6,9,31,1,3,3,3,4,14,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,91,Partial_green+2,large,5,3,5,12,9,34,16,12,1,11,3,43,0,0,0,1,2,3,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Laura
Caged,95,Caged_yellow+3,small,9,2,0,1,4,16,17,0,0,6,21,44,2,0,0,0,3,5,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,96,Caged_yellow+3,medium,4,3,1,1,7,16,43,5,1,5,8,62,5,2,0,0,1,8,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,97,Caged_yellow+3,large,5,0,0,0,3,8,27,8,5,11,4,55,4,0,0,0,0,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,"type1, less crowns",medium,Laura
Open,98,Open_red+1,large,4,3,0,0,2,9,5,1,1,1,3,11,1,0,0,0,0,1,26,37.44,1,15.49736,31.49736,9,33,8,18,54,68.06264,92.06264,148,248,,"type2, more crowns, two missing",medium,Laura
Open,99,Open_red+1,medium,3,8,3,6,3,23,42,17,2,21,27,109,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,most 'others' are bubbles,middle,Laura
Open,99.2,Open_red+3,large,3,3,2,3,7,18,14,29,7,12,12,74,0,0,0,0,1,1,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Laura
Open,100,Open_red+1,small,5,6,3,5,1,20,36,9,9,21,45,120,1,0,0,2,2,5,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Open,100.2,Open_yellow+1,medium,10,13,7,19,4,53,33,25,12,24,18,112,4,2,0,2,1,9,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Open,102,Open_red+2,medium,4,13,0,5,4,26,22,9,4,15,7,57,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Partial,103,Partial_green+1,large,0,1,1,1,1,4,3,2,6,6,7,24,0,1,0,0,1,2,23,33.12,1,15.49736,31.49736,9,33,11,24.75,74.25,65.63264,86.03264,148,257.9,,"type1, less crowns, also 2 missing",medium,Laura
Partial,104,Partial_green+1,medium,1,0,3,1,6,11,15,7,1,9,8,40,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Partial,105,Partial_green+1,small,6,1,1,3,3,14,4,6,0,3,14,27,1,1,0,0,1,3,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,106,Caged_green+2,small,1,0,0,0,2,3,9,2,5,1,10,27,2,0,0,0,1,3,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Caged,107,Caged_green+2,medium,3,2,2,7,3,17,8,3,1,4,3,19,0,0,0,0,0,0,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,108,Caged_green+2,large,0,1,1,3,0,5,6,2,3,2,2,15,0,1,0,1,0,2,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,"type1, less crowns; lots of turf on top",medium,Laura
Partial,115,Partial_yellow+2,small,3,5,0,2,2,12,11,7,3,11,11,43,0,0,0,0,0,0,24,34.56,8,9.6,46.4,10.74736,28.74736,12,14.4,51.6,78.69264,97.89264,148,259.2,,,middle,Laura
Partial,117,Partial_yellow+2,large,2,6,5,6,7,26,24,9,8,6,4,51,0,0,2,1,0,3,28,40.32,1,15.49736,31.49736,9,33,8,18,54,65.18264,89.18264,148,248,,"type2, more crowns",medium,Laura
Partial,118,Partial_yellow+2,medium,0,2,1,4,4,11,3,8,0,8,4,23,0,1,0,2,0,3,24,34.56,8,18,66,10.74736,28.74736,12,27,81,57.69264,76.89264,148,287.2,,,middle,Laura
Caged,119,Caged_yellow+1,large,5,2,3,4,6,20,49,4,3,9,18,83,0,1,0,1,2,4,25,36,1,15.49736,31.49736,9,33,11,24.75,74.25,62.75264,83.15264,148,257.9,,"type1, less crowns",medium,Laura