"","Unique.location","Species","Bites","colour.in.videos","tile.number","Treatment","Crevice.kind","Location","number.LOB.before","number.otherMA.before","number.unknown.before","number.Lob.after","number.otherMA.after","number.unknown.after","number.LOB.removed","number.otherMA.removed","number.unknown.removed"
"2","107.d5","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","d5",1,0,0,1,0,0,0,0,0
"3","107.e2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","e2",1,0,0,1,0,0,0,0,0
"5","107.f2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","f2",1,1,0,1,1,0,0,0,0
"9","107.g2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","g2",2,0,0,2,0,0,0,0,0
"14","107.i2","Acanthurus nigrofuscus",0,"black",107,"accessible","medium","i2",1,0,0,1,0,0,0,0,0
"20","18.b1","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","b1",1,0,0,0,0,0,1,0,0
"34","18.g7","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","g7",4,0,0,3,0,0,1,0,0
"38","18.i4","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i4",1,1,0,1,1,0,0,0,0
"39","18.i5","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i5",1,0,0,1,0,0,0,0,0
"40","18.i6","Acanthurus nigrofuscus",0,"blank",18,"accessible","small","i6",1,2,0,1,2,0,0,0,0
"42","44.b3","Acanthurus nigrofuscus",0,"red",44,"accessible","medium","b3",1,0,0,1,0,0,0,0,0
"49","44.d9","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","d9",1,1,0,0,1,0,1,0,0
"50","44.e4","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","e4",2,1,0,2,1,0,0,0,0
"51","44.e6","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","e6",1,0,0,1,0,0,0,0,0
"53","44.f3","Acanthurus nigrofuscus",1,"red",44,"accessible","medium","f3",1,2,0,1,2,0,0,0,0
"62","6.e7","Acanthurus nigrofuscus",0,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"63","6.f6","Acanthurus nigrofuscus",0,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"64","6.h3","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"65","6.h6","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
"66","6.h8","Acanthurus nigrofuscus",0,"black",6,"accessible","small","h8",8,0,0,8,0,0,0,0,0
"68","71.a6","Acanthurus nigrofuscus",0,"red",71,"accessible","large","a6",1,0,0,0,0,0,1,0,0
"71","71.b5","Acanthurus nigrofuscus",0,"red",71,"accessible","large","b5",1,8,0,1,8,0,0,0,0
"72","71.c2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","c2",2,1,4,2,1,4,0,0,0
"74","71.d2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d2",3,7,0,3,7,0,0,0,0
"75","71.d3","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d3",4,1,0,4,1,0,0,0,0
"76","71.d5","Acanthurus nigrofuscus",0,"red",71,"accessible","large","d5",2,2,1,2,2,1,0,0,0
"77","71.e1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","e1",2,1,0,2,1,0,0,0,0
"78","71.e2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","e2",4,1,0,4,1,0,0,0,0
"80","71.f1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","f1",1,2,0,1,2,0,0,0,0
"82","71.g1","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g1",1,0,1,1,0,1,0,0,0
"83","71.g2","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g2",2,2,0,2,2,0,0,0,0
"84","71.g4","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g4",4,3,3,4,3,3,0,0,0
"85","71.g8","Acanthurus nigrofuscus",0,"red",71,"accessible","large","g8",2,2,0,2,2,0,0,0,0
"86","71.h3","Acanthurus nigrofuscus",0,"red",71,"accessible","large","h3",3,2,1,3,2,1,0,0,0
"87","71.h7","Acanthurus nigrofuscus",0,"red",71,"accessible","large","h7",6,2,1,6,2,1,0,0,0
"89","71.i4","Acanthurus nigrofuscus",0,"red",71,"accessible","large","i4",1,0,0,1,0,0,0,0,0
"94","72.d9","Acanthurus nigrofuscus",1,"red",72,"accessible","small","d9",2,0,0,2,0,0,0,0,0
"95","72.e1","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e1",2,1,0,2,1,0,0,0,0
"97","72.e4","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e4",3,2,0,3,2,0,0,0,0
"100","72.e8","Acanthurus nigrofuscus",0,"red",72,"accessible","small","e8",1,1,0,1,1,0,0,0,0
"102","72.f5","Acanthurus nigrofuscus",0,"red",72,"accessible","small","f5",1,0,0,1,0,0,0,0,0
"103","72.g2","Acanthurus nigrofuscus",0,"red",72,"accessible","small","g2",1,3,0,1,3,0,0,0,0
"105","72.h5","Acanthurus nigrofuscus",0,"red",72,"accessible","small","h5",1,4,0,1,4,0,0,0,0
"107","72.i3","Acanthurus nigrofuscus",2,"red",72,"accessible","small","i3",1,2,0,0,2,0,1,0,0
"108","72.i4","Acanthurus nigrofuscus",0,"red",72,"accessible","small","i4",1,0,0,1,0,0,0,0,0
"110","72.i6","Acanthurus nigrofuscus",0,"red",72,"accessible","small","i6",1,0,0,1,0,0,0,0,0
"114","74.b8","Acanthurus nigrofuscus",0,"blank",74,"accessible","large","b8",1,0,0,1,0,0,0,0,0
"133","79.f2","Acanthurus nigrofuscus",0,"blank",79,"accessible","medium","f2",1,0,0,1,0,0,0,0,0
"137","80.b2","Acanthurus nigrofuscus",0,"black",80,"accessible","large","b2",1,4,0,1,3,0,0,1,0
"138","80.b6","Acanthurus nigrofuscus",0,"black",80,"accessible","large","b6",1,5,0,1,5,0,0,0,0
"148","80.e2","Acanthurus nigrofuscus",0,"black",80,"accessible","large","e2",2,0,1,2,0,1,0,0,0
"149","80.e4","Acanthurus nigrofuscus",0,"black",80,"accessible","large","e4",1,5,0,1,5,0,0,0,0
"150","80.f3","Acanthurus nigrofuscus",0,"black",80,"accessible","large","f3",1,1,0,1,1,0,0,0,0
"156","80.g4","Acanthurus nigrofuscus",0,"black",80,"accessible","large","g4",2,2,0,2,2,0,0,0,0
"158","80.g8","Acanthurus nigrofuscus",0,"black",80,"accessible","large","g8",1,2,0,1,2,0,0,0,0
"159","80.h7","Acanthurus nigrofuscus",0,"black",80,"accessible","large","h7",1,2,0,1,2,0,0,0,0
"164","107.d5","Chlorurus sordidus",0,"black",107,"accessible","medium","d5",1,0,0,1,0,0,0,0,0
"165","107.e2","Chlorurus sordidus",1,"black",107,"accessible","medium","e2",1,0,0,1,0,0,0,0,0
"167","107.f2","Chlorurus sordidus",3,"black",107,"accessible","medium","f2",1,1,0,1,1,0,0,0,0
"171","107.g2","Chlorurus sordidus",0,"black",107,"accessible","medium","g2",2,0,0,2,0,0,0,0,0
"176","107.i2","Chlorurus sordidus",0,"black",107,"accessible","medium","i2",1,0,0,1,0,0,0,0,0
"182","18.b1","Chlorurus sordidus",0,"blank",18,"accessible","small","b1",1,0,0,0,0,0,1,0,0
"196","18.g7","Chlorurus sordidus",0,"blank",18,"accessible","small","g7",4,0,0,3,0,0,1,0,0
"200","18.i4","Chlorurus sordidus",0,"blank",18,"accessible","small","i4",1,1,0,1,1,0,0,0,0
"201","18.i5","Chlorurus sordidus",0,"blank",18,"accessible","small","i5",1,0,0,1,0,0,0,0,0
"202","18.i6","Chlorurus sordidus",0,"blank",18,"accessible","small","i6",1,2,0,1,2,0,0,0,0
"204","44.b3","Chlorurus sordidus",0,"red",44,"accessible","medium","b3",1,0,0,1,0,0,0,0,0
"211","44.d9","Chlorurus sordidus",0,"red",44,"accessible","medium","d9",1,1,0,0,1,0,1,0,0
"212","44.e4","Chlorurus sordidus",0,"red",44,"accessible","medium","e4",2,1,0,2,1,0,0,0,0
"213","44.e6","Chlorurus sordidus",0,"red",44,"accessible","medium","e6",1,0,0,1,0,0,0,0,0
"215","44.f3","Chlorurus sordidus",0,"red",44,"accessible","medium","f3",1,2,0,1,2,0,0,0,0
"224","6.e7","Chlorurus sordidus",0,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"225","6.f6","Chlorurus sordidus",1,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"226","6.h3","Chlorurus sordidus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"227","6.h6","Chlorurus sordidus",1,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
"228","6.h8","Chlorurus sordidus",0,"black",6,"accessible","small","h8",8,0,0,8,0,0,0,0,0
"230","71.a6","Chlorurus sordidus",0,"red",71,"accessible","large","a6",1,0,0,0,0,0,1,0,0
"233","71.b5","Chlorurus sordidus",0,"red",71,"accessible","large","b5",1,8,0,1,8,0,0,0,0
"234","71.c2","Chlorurus sordidus",0,"red",71,"accessible","large","c2",2,1,4,2,1,4,0,0,0
"236","71.d2","Chlorurus sordidus",0,"red",71,"accessible","large","d2",3,7,0,3,7,0,0,0,0
"237","71.d3","Chlorurus sordidus",0,"red",71,"accessible","large","d3",4,1,0,4,1,0,0,0,0
"238","71.d5","Chlorurus sordidus",0,"red",71,"accessible","large","d5",2,2,1,2,2,1,0,0,0
"239","71.e1","Chlorurus sordidus",0,"red",71,"accessible","large","e1",2,1,0,2,1,0,0,0,0
"240","71.e2","Chlorurus sordidus",0,"red",71,"accessible","large","e2",4,1,0,4,1,0,0,0,0
"242","71.f1","Chlorurus sordidus",0,"red",71,"accessible","large","f1",1,2,0,1,2,0,0,0,0
"244","71.g1","Chlorurus sordidus",0,"red",71,"accessible","large","g1",1,0,1,1,0,1,0,0,0
"245","71.g2","Chlorurus sordidus",0,"red",71,"accessible","large","g2",2,2,0,2,2,0,0,0,0
"246","71.g4","Chlorurus sordidus",0,"red",71,"accessible","large","g4",4,3,3,4,3,3,0,0,0
"247","71.g8","Chlorurus sordidus",0,"red",71,"accessible","large","g8",2,2,0,2,2,0,0,0,0
"248","71.h3","Chlorurus sordidus",0,"red",71,"accessible","large","h3",3,2,1,3,2,1,0,0,0
"249","71.h7","Chlorurus sordidus",0,"red",71,"accessible","large","h7",6,2,1,6,2,1,0,0,0
"251","71.i4","Chlorurus sordidus",0,"red",71,"accessible","large","i4",1,0,0,1,0,0,0,0,0
"256","72.d9","Chlorurus sordidus",0,"red",72,"accessible","small","d9",2,0,0,2,0,0,0,0,0
"257","72.e1","Chlorurus sordidus",0,"red",72,"accessible","small","e1",2,1,0,2,1,0,0,0,0
"259","72.e4","Chlorurus sordidus",0,"red",72,"accessible","small","e4",3,2,0,3,2,0,0,0,0
"262","72.e8","Chlorurus sordidus",0,"red",72,"accessible","small","e8",1,1,0,1,1,0,0,0,0
"264","72.f5","Chlorurus sordidus",0,"red",72,"accessible","small","f5",1,0,0,1,0,0,0,0,0
"265","72.g2","Chlorurus sordidus",0,"red",72,"accessible","small","g2",1,3,0,1,3,0,0,0,0
"267","72.h5","Chlorurus sordidus",0,"red",72,"accessible","small","h5",1,4,0,1,4,0,0,0,0
"269","72.i3","Chlorurus sordidus",0,"red",72,"accessible","small","i3",1,2,0,0,2,0,1,0,0
"270","72.i4","Chlorurus sordidus",0,"red",72,"accessible","small","i4",1,0,0,1,0,0,0,0,0
"272","72.i6","Chlorurus sordidus",0,"red",72,"accessible","small","i6",1,0,0,1,0,0,0,0,0
"276","74.b8","Chlorurus sordidus",0,"blank",74,"accessible","large","b8",1,0,0,1,0,0,0,0,0
"295","79.f2","Chlorurus sordidus",0,"blank",79,"accessible","medium","f2",1,0,0,1,0,0,0,0,0
"299","80.b2","Chlorurus sordidus",0,"black",80,"accessible","large","b2",1,4,0,1,3,0,0,1,0
"300","80.b6","Chlorurus sordidus",0,"black",80,"accessible","large","b6",1,5,0,1,5,0,0,0,0
"310","80.e2","Chlorurus sordidus",0,"black",80,"accessible","large","e2",2,0,1,2,0,1,0,0,0
"311","80.e4","Chlorurus sordidus",0,"black",80,"accessible","large","e4",1,5,0,1,5,0,0,0,0
"312","80.f3","Chlorurus sordidus",0,"black",80,"accessible","large","f3",1,1,0,1,1,0,0,0,0
"318","80.g4","Chlorurus sordidus",0,"black",80,"accessible","large","g4",2,2,0,2,2,0,0,0,0
"320","80.g8","Chlorurus sordidus",1,"black",80,"accessible","large","g8",1,2,0,1,2,0,0,0,0
"321","80.h7","Chlorurus sordidus",3,"black",80,"accessible","large","h7",1,2,0,1,2,0,0,0,0
"326","107.d5","Ctenochaetus binotatus",0,"black",107,"accessible","medium","d5",1,0,0,1,0,0,0,0,0
"327","107.e2","Ctenochaetus binotatus",0,"black",107,"accessible","medium","e2",1,0,0,1,0,0,0,0,0
"329","107.f2","Ctenochaetus binotatus",0,"black",107,"accessible","medium","f2",1,1,0,1,1,0,0,0,0
"333","107.g2","Ctenochaetus binotatus",3,"black",107,"accessible","medium","g2",2,0,0,2,0,0,0,0,0
"338","107.i2","Ctenochaetus binotatus",4,"black",107,"accessible","medium","i2",1,0,0,1,0,0,0,0,0
"344","18.b1","Ctenochaetus binotatus",0,"blank",18,"accessible","small","b1",1,0,0,0,0,0,1,0,0
"358","18.g7","Ctenochaetus binotatus",0,"blank",18,"accessible","small","g7",4,0,0,3,0,0,1,0,0
"362","18.i4","Ctenochaetus binotatus",0,"blank",18,"accessible","small","i4",1,1,0,1,1,0,0,0,0
"363","18.i5","Ctenochaetus binotatus",0,"blank",18,"accessible","small","i5",1,0,0,1,0,0,0,0,0
"364","18.i6","Ctenochaetus binotatus",0,"blank",18,"accessible","small","i6",1,2,0,1,2,0,0,0,0
"366","44.b3","Ctenochaetus binotatus",0,"red",44,"accessible","medium","b3",1,0,0,1,0,0,0,0,0
"373","44.d9","Ctenochaetus binotatus",0,"red",44,"accessible","medium","d9",1,1,0,0,1,0,1,0,0
"374","44.e4","Ctenochaetus binotatus",0,"red",44,"accessible","medium","e4",2,1,0,2,1,0,0,0,0
"375","44.e6","Ctenochaetus binotatus",0,"red",44,"accessible","medium","e6",1,0,0,1,0,0,0,0,0
"377","44.f3","Ctenochaetus binotatus",0,"red",44,"accessible","medium","f3",1,2,0,1,2,0,0,0,0
"386","6.e7","Ctenochaetus binotatus",0,"black",6,"accessible","small","e7",1,0,0,1,0,0,0,0,0
"387","6.f6","Ctenochaetus binotatus",0,"black",6,"accessible","small","f6",4,6,0,4,6,0,0,0,0
"388","6.h3","Ctenochaetus binotatus",0,"black",6,"accessible","small","h3",3,1,0,3,1,0,0,0,0
"389","6.h6","Ctenochaetus binotatus",0,"black",6,"accessible","small","h6",3,3,0,3,3,0,0,0,0
"390","6.h8","Ctenochaetus binotatus",0,"black",6,"accessible","small","h8",8,0,0,8,0,0,0,0,0
"392","71.a6","Ctenochaetus binotatus",0,"red",71,"accessible","large","a6",1,0,0,0,0,0,1,0,0
"395","71.b5","Ctenochaetus binotatus",0,"red",71,"accessible","large","b5",1,8,0,1,8,0,0,0,0
"396","71.c2","Ctenochaetus binotatus",0,"red",71,"accessible","large","c2",2,1,4,2,1,4,0,0,0
"398","71.d2","Ctenochaetus binotatus",0,"red",71,"accessible","large","d2",3,7,0,3,7,0,0,0,0
"399","71.d3","Ctenochaetus binotatus",0,"red",71,"accessible","large","d3",4,1,0,4,1,0,0,0,0
"400","71.d5","Ctenochaetus binotatus",0,"red",71,"accessible","large","d5",2,2,1,2,2,1,0,0,0
"401","71.e1","Ctenochaetus binotatus",0,"red",71,"accessible","large","e1",2,1,0,2,1,0,0,0,0
"402","71.e2","Ctenochaetus binotatus",0,"red",71,"accessible","large","e2",4,1,0,4,1,0,0,0,0
"404","71.f1","Ctenochaetus binotatus",0,"red",71,"accessible","large","f1",1,2,0,1,2,0,0,0,0
"406","71.g1","Ctenochaetus binotatus",0,"red",71,"accessible","large","g1",1,0,1,1,0,1,0,0,0
"407","71.g2","Ctenochaetus binotatus",0,"red",71,"accessible","large","g2",2,2,0,2,2,0,0,0,0
"408","71.g4","Ctenochaetus binotatus",0,"red",71,"accessible","large","g4",4,3,3,4,3,3,0,0,0
"409","71.g8","Ctenochaetus binotatus",0,"red",71,"accessible","large","g8",2,2,0,2,2,0,0,0,0
"410","71.h3","Ctenochaetus binotatus",0,"red",71,"accessible","large","h3",3,2,1,3,2,1,0,0,0
"411","71.h7","Ctenochaetus binotatus",0,"red",71,"accessible","large","h7",6,2,1,6,2,1,0,0,0
"413","71.i4","Ctenochaetus binotatus",0,"red",71,"accessible","large","i4",1,0,0,1,0,0,0,0,0
"418","72.d9","Ctenochaetus binotatus",0,"red",72,"accessible","small","d9",2,0,0,2,0,0,0,0,0
"419","72.e1","Ctenochaetus binotatus",0,"red",72,"accessible","small","e1",2,1,0,2,1,0,0,0,0
"421","72.e4","Ctenochaetus binotatus",0,"red",72,"accessible","small","e4",3,2,0,3,2,0,0,0,0
"424","72.e8","Ctenochaetus binotatus",0,"red",72,"accessible","small","e8",1,1,0,1,1,0,0,0,0
"426","72.f5","Ctenochaetus binotatus",0,"red",72,"accessible","small","f5",1,0,0,1,0,0,0,0,0
"427","72.g2","Ctenochaetus binotatus",0,"red",72,"accessible","small","g2",1,3,0,1,3,0,0,0,0
"429","72.h5","Ctenochaetus binotatus",0,"red",72,"accessible","small","h5",1,4,0,1,4,0,0,0,0
"431","72.i3","Ctenochaetus binotatus",0,"red",72,"accessible","small","i3",1,2,0,0,2,0,1,0,0
"432","72.i4","Ctenochaetus binotatus",0,"red",72,"accessible","small","i4",1,0,0,1,0,0,0,0,0
"434","72.i6","Ctenochaetus binotatus",0,"red",72,"accessible","small","i6",1,0,0,1,0,0,0,0,0
"438","74.b8","Ctenochaetus binotatus",0,"blank",74,"accessible","large","b8",1,0,0,1,0,0,0,0,0
"457","79.f2","Ctenochaetus binotatus",0,"blank",79,"accessible","medium","f2",1,0,0,1,0,0,0,0,0
"461","80.b2","Ctenochaetus binotatus",0,"black",80,"accessible","large","b2",1,4,0,1,3,0,0,1,0
"462","80.b6","Ctenochaetus binotatus",0,"black",80,"accessible","large","b6",1,5,0,1,5,0,0,0,0
